genre_1,genre_2,language,original_title,english_title,country,date,status
Animation,Comedy,en,Toy Story,Toy Story,UnitedStatesofAmerica,1995-10-30,Released
Adventure,Fantasy,en,Jumanji,Jumanji,UnitedStatesofAmerica,1995-12-15,Released
Romance,Comedy,en,Grumpier Old Men,Grumpier Old Men,UnitedStatesofAmerica,1995-12-22,Released
Comedy,Drama,en,Waiting to Exhale,Waiting to Exhale,UnitedStatesofAmerica,1995-12-22,Released
Comedy,,en,Father of the Bride Part II,Father of the Bride Part II,UnitedStatesofAmerica,1995-02-10,Released
Action,Crime,en,Heat,Heat,UnitedStatesofAmerica,1995-12-15,Released
Comedy,Romance,en,Sabrina,Sabrina,Germany,1995-12-15,Released
Action,Adventure,en,Tom and Huck,Tom and Huck,UnitedStatesofAmerica,1995-12-22,Released
Action,Adventure,en,Sudden Death,Sudden Death,UnitedStatesofAmerica,1995-12-22,Released
Adventure,Action,en,GoldenEye,GoldenEye,UnitedKingdom,1995-11-16,Released
Comedy,Drama,en,The American President,The American President,UnitedStatesofAmerica,1995-11-17,Released
Comedy,Horror,en,Dracula: Dead and Loving It,Dracula: Dead and Loving It,France,1995-12-22,Released
Family,Animation,en,Balto,Balto,UnitedStatesofAmerica,1995-12-22,Released
History,Drama,en,Nixon,Nixon,UnitedStatesofAmerica,1995-12-22,Released
Action,Adventure,en,Cutthroat Island,Cutthroat Island,France,1995-12-22,Released
Drama,Crime,en,Casino,Casino,France,1995-11-22,Released
Drama,Romance,en,Sense and Sensibility,Sense and Sensibility,UnitedKingdom,1995-12-13,Released
Crime,Comedy,en,Four Rooms,Four Rooms,UnitedStatesofAmerica,1995-12-09,Released
Crime,Comedy,en,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,UnitedStatesofAmerica,1995-11-10,Released
Action,Comedy,en,Money Train,Money Train,UnitedStatesofAmerica,1995-11-21,Released
Comedy,Thriller,en,Get Shorty,Get Shorty,UnitedStatesofAmerica,1995-10-20,Released
Drama,Thriller,en,Copycat,Copycat,UnitedStatesofAmerica,1995-10-27,Released
Action,Adventure,en,Assassins,Assassins,France,1995-10-06,Released
Drama,Fantasy,en,Powder,Powder,UnitedStatesofAmerica,1995-10-27,Released
Drama,Romance,en,Leaving Las Vegas,Leaving Las Vegas,UnitedStatesofAmerica,1995-10-27,Released
Drama,,en,Othello,Othello,Italy,1995-12-15,Released
Comedy,Drama,en,Now and Then,Now and Then,UnitedStatesofAmerica,1995-10-20,Released
Drama,Romance,en,Persuasion,Persuasion,UnitedKingdom,1995-09-27,Released
Fantasy,Science,fr,La Cité des Enfants Perdus,The City of Lost Children,France,1995-05-16,Released
Drama,Crime,zh,摇啊摇，摇到外婆桥,Shanghai Triad,China,1995-04-30,Released
Drama,Crime,en,Dangerous Minds,Dangerous Minds,UnitedStatesofAmerica,1995-08-11,Released
Science,name:,en,Twelve Monkeys,Twelve Monkeys,UnitedStatesofAmerica,1995-12-29,Released
Romance,Adventure,fr,"Guillaumet, les ailes du courage",Wings of Courage,France,1996-09-18,Released
Fantasy,Drama,en,Babe,Babe,Australia,1995-07-18,Released
History,Drama,en,Carrington,Carrington,France,1995-11-08,Released
Drama,,en,Dead Man Walking,Dead Man Walking,UnitedStatesofAmerica,1995-12-29,Released
Adventure,History,en,Across the Sea of Time,Across the Sea of Time,UnitedStatesofAmerica,1995-10-20,Released
Comedy,Family,en,It Takes Two,It Takes Two,UnitedStatesofAmerica,1995-11-17,Released
Comedy,Drama,en,Clueless,Clueless,UnitedStatesofAmerica,1995-07-19,Released
Drama,,en,"Cry, the Beloved Country","Cry, the Beloved Country",SouthAfrica,1995-12-15,Released
Drama,War,en,Richard III,Richard III,UnitedKingdom,1995-12-29,Released
Action,Crime,en,Dead Presidents,Dead Presidents,UnitedStatesofAmerica,1995-10-06,Released
Drama,Romance,en,Restoration,Restoration,UnitedStatesofAmerica,1995-12-29,Released
